addr,name,unit,confidence,name_source
0x00100008,_start,,reached,manual
0x001001C8,func_001001C8,,reached,generated
0x001001D8,func_001001D8,,reached,generated
0x00100270,func_00100270,,reached,generated
0x00100310,main,,reached,manual
0x00100410,func_00100410,,unreferenced,generated
0x001004B0,func_001004B0,,reached,generated
0x001004D0,func_001004D0,,reached,generated
0x00100530,func_00100530,,reached,generated
0x001005A8,func_001005A8,,reached,generated
0x00100638,func_00100638,,reached,generated
0x00100658,func_00100658,,reached,generated
0x00100660,func_00100660,,reached,generated
0x001006C8,func_001006C8,,reached,generated
0x001007B0,func_001007B0,,reached,generated
0x001007C8,func_001007C8,,reached,generated
0x001007D0,func_001007D0,,reached,generated
0x00100910,func_00100910,,reached,generated
0x00100990,func_00100990,,reached,generated
0x00100A10,func_00100A10,,reached,generated
0x00100A30,func_00100A30,,reached,generated
0x00100A48,func_00100A48,,reached,generated
0x00100AD0,func_00100AD0,,reached,generated
0x00100C58,func_00100C58,,reached,generated
0x00100CA8,func_00100CA8,,reached,generated
0x00100DC8,func_00100DC8,,reached,generated
0x00100E78,func_00100E78,,reached,generated
0x00100F08,func_00100F08,,unreferenced,generated
0x00100F48,func_00100F48,,reached,generated
0x001011A8,func_001011A8,,reached,generated
0x001013D8,func_001013D8,,reached,generated
0x00101400,func_00101400,,reached,generated
0x00101458,func_00101458,,reached,generated
0x001014A8,func_001014A8,,reached,generated
0x001014C8,func_001014C8,,reached,generated
0x00101600,func_00101600,,reached,generated
0x001016D8,func_001016D8,,reached,generated
0x00101720,func_00101720,,reached,generated
0x00101748,func_00101748,,reached,generated
0x001017E0,func_001017E0,,reached,generated
0x001018C0,func_001018C0,,reached,generated
0x001018C8,func_001018C8,,reached,generated
0x00101AC8,func_00101AC8,,reached,generated
0x00101B28,event_test_dummy_init,,reached,prose_label
0x00101B80,func_00101B80,,reached,generated
0x00101B90,func_00101B90,,reached,generated
0x00101BD0,func_00101BD0,,reached,generated
0x00101C18,func_00101C18,,reached,generated
0x00101C98,func_00101C98,,reached,generated
0x00101DD0,func_00101DD0,,reached,generated
0x00102040,func_00102040,,reached,generated
0x001020A0,func_001020A0,,reached,generated
0x001021C0,func_001021C0,,reached,generated
0x00102290,func_00102290,,reached,generated
0x00102338,func_00102338,,reached,generated
0x00102468,func_00102468,,reached,generated
0x001026C8,func_001026C8,,reached,generated
0x00102B80,func_00102B80,,reached,generated
0x00102E48,func_00102E48,,reached,generated
0x00102FF0,func_00102FF0,,reached,generated
0x00103420,func_00103420,,reached,generated
0x00103460,dummyNonagTest,,reached,manual
0x00103880,func_00103880,,reached,generated
0x00103888,dummyBattleSyncTest,,reached,manual
0x00103CE8,dummyStartTest,,reached,prose_label
0x00103F48,func_00103F48,,reached,generated
0x00104008,func_00104008,,reached,generated
0x00104050,func_00104050,,reached,generated
0x00104178,TestKanoh,,reached,prose_label
0x00104388,func_00104388,,reached,generated
0x00104720,func_00104720,,reached,generated
0x00104760,func_00104760,,unreferenced,generated
0x00104890,func_00104890,,reached,generated
0x001049A0,func_001049A0,,unreferenced,generated
0x00104B30,kanoh_00104B30,kanoh.c,reached,generated
0x00104E18,TestKanohTabris,kanoh.c,reached,prose_label
0x00104EB8,kanoh_00104EB8,kanoh.c,unreferenced,generated
0x00104F80,kanoh_00104F80,kanoh.c,reached,generated
0x00105010,debug_00105010,debug.c,reached,generated
0x00105160,dbgVPrintf,debug.c,reached,manual
0x001051D0,assertFail,debug.c,reached,manual
0x001052A8,assertHalt,debug.c,reached,manual
0x001052B0,debug_001052B0,debug.c,unreferenced,generated
0x001052B8,debug_001052B8,debug.c,unreferenced,generated
0x001052C0,debug_001052C0,debug.c,unreferenced,generated
0x001052C8,debug_001052C8,debug.c,reached,generated
0x00105378,debug_00105378,debug.c,reached,generated
0x001053B0,debug_001053B0,debug.c,reached,generated
0x001055A0,debug_001055A0,debug.c,reached,generated
0x00105678,debug_00105678,debug.c,unreferenced,generated
0x00105758,debug_00105758,debug.c,unreferenced,generated
0x00105790,func_00105790,,reached,generated
0x00105850,func_00105850,,reached,generated
0x00105868,func_00105868,,reached,generated
0x00105930,func_00105930,,reached,generated
0x00105C28,func_00105C28,,reached,generated
0x00105CA0,PaddataRead,pad.c,reached,solo_string
0x001060C0,pad_001060C0,pad.c,reached,generated
0x001061E8,pad_001061E8,pad.c,reached,generated
0x00106268,pad_00106268,pad.c,reached,generated
0x00106330,pad_00106330,pad.c,unreferenced,generated
0x001063E8,pad_001063E8,pad.c,reached,generated
0x001063F8,pad_001063F8,pad.c,reached,generated
0x00106408,pad_00106408,pad.c,reached,generated
0x00106418,pad_00106418,pad.c,reached,generated
0x00106440,PadActSet,pad.c,reached,solo_string
0x00106618,pad_00106618,pad.c,reached,generated
0x00106780,pad_00106780,pad.c,reached,generated
0x00106818,pad_00106818,pad.c,reached,generated
0x001068C0,pad_001068C0,pad.c,reached,generated
0x00106950,gameMainLoop,pad.c,reached,manual
0x00106BD0,pad_00106BD0,pad.c,unreferenced,generated
0x00106BE0,pad_00106BE0,pad.c,unreferenced,generated
0x00106BF0,pad_00106BF0,pad.c,unreferenced,generated
0x00106C00,pad_00106C00,pad.c,unreferenced,generated
0x00106C10,pad_00106C10,pad.c,reached,generated
0x00106D80,pad_00106D80,pad.c,reached,generated
0x00106DA8,cdGetMediaType,pad.c,reached,manual
0x00106E28,cdInit,pad.c,reached,manual
0x00106E90,pad_00106E90,pad.c,unreferenced,generated
0x00106EA0,pad_00106EA0,pad.c,reached,generated
0x00106EB8,pad_00106EB8,pad.c,reached,generated
0x00106EC0,pad_00106EC0,pad.c,reached,generated
0x00106F68,pad_00106F68,pad.c,reached,generated
0x00106FD0,pad_00106FD0,pad.c,reached,generated
0x00106FE0,pad_00106FE0,pad.c,reached,generated
0x00106FF0,pad_00106FF0,pad.c,reached,generated
0x00107038,pad_00107038,pad.c,unreferenced,generated
0x00107070,pad_00107070,pad.c,reached,generated
0x001070C8,pad_001070C8,pad.c,reached,generated
0x001070F0,pad_001070F0,pad.c,reached,generated
0x00107188,pad_00107188,pad.c,reached,generated
0x001071B0,pad_001071B0,pad.c,reached,generated
0x001072B0,pad_001072B0,pad.c,reached,generated
0x00107300,pad_00107300,pad.c,reached,generated
0x001073F8,pad_001073F8,pad.c,reached,generated
0x00107488,pad_00107488,pad.c,reached,generated
0x001074F0,cdfile_001074F0,cdfile.c,reached,generated
0x00107570,cdfile_00107570,cdfile.c,reached,generated
0x00107578,cdfile_00107578,cdfile.c,reached,generated
0x001075B8,cdfile_001075B8,cdfile.c,reached,generated
0x00107680,cdfile_00107680,cdfile.c,reached,generated
0x00107760,cdfile_00107760,cdfile.c,reached,generated
0x00107920,cdfileReadStart,cdfile.c,reached,trace_string
0x00107A18,cdfile_00107A18,cdfile.c,reached,generated
0x00107A30,cdfile_00107A30,cdfile.c,reached,generated
0x00107CA0,cdfile_00107CA0,cdfile.c,reached,generated
0x00107D08,func_00107D08,,reached,generated
0x00107D30,cddir_00107D30,cddir.c,reached,generated
0x00107D88,CD_MakeFileTable,cddir.c,reached,trace_string
0x00107FA0,cddir_00107FA0,cddir.c,reached,generated
0x00108228,cddir_00108228,cddir.c,reached,generated
0x00108448,sceCdSearchFile,cddir.c,reached,trace_string
0x00108500,cddir_00108500,cddir.c,reached,generated
0x00108588,cddir_00108588,cddir.c,reached,generated
0x001085D0,CD_Test,cddir.c,unreferenced,trace_string
