addr,name,unit,confidence,name_source
0x01F00000,overlayMain,,reached,manual
0x01F00058,func_01F00058,,reached,generated
0x01F00110,func_01F00110,,reached,generated
0x01F00180,func_01F00180,,reached,generated
0x01F002A8,func_01F002A8,,reached,generated
0x01F00368,func_01F00368,,unreferenced,generated
0x01F003E0,func_01F003E0,,reached,generated
0x01F00408,func_01F00408,,reached,generated
0x01F004B0,func_01F004B0,,reached,generated
0x01F00508,func_01F00508,,reached,generated
0x01F00560,func_01F00560,,reached,generated
0x01F005B8,func_01F005B8,,reached,generated
0x01F00610,func_01F00610,,reached,generated
0x01F00650,func_01F00650,,reached,generated
0x01F007D8,func_01F007D8,,reached,generated
0x01F00828,btflow_01F00828,btflow.c,reached,generated
0x01F00A90,btflow_01F00A90,btflow.c,reached,generated
0x01F00CE8,btflow_01F00CE8,btflow.c,reached,generated
0x01F00E70,btflow_01F00E70,btflow.c,reached,generated
0x01F00EE8,btflow_01F00EE8,btflow.c,reached,generated
0x01F00FC8,btFlow_Misato,btflow.c,reached,trace_string
0x01F01098,btflow_01F01098,btflow.c,reached,generated
0x01F010E8,btflow_01F010E8,btflow.c,reached,generated
0x01F01188,btflow_01F01188,btflow.c,reached,generated
0x01F01260,btflow_01F01260,btflow.c,reached,generated
0x01F01298,btflow_01F01298,btflow.c,reached,generated
0x01F012C0,btflow_01F012C0,btflow.c,reached,generated
0x01F01368,btflow_01F01368,btflow.c,reached,generated
0x01F01428,btflow_01F01428,btflow.c,reached,generated
0x01F014C0,btflow_01F014C0,btflow.c,reached,generated
0x01F01528,btflow_01F01528,btflow.c,reached,generated
0x01F01598,btflow_01F01598,btflow.c,reached,generated
0x01F01698,btflow_01F01698,btflow.c,reached,generated
0x01F017D8,btflow_01F017D8,btflow.c,reached,generated
0x01F01860,btflow_01F01860,btflow.c,reached,generated
0x01F01878,btflow_01F01878,btflow.c,reached,generated
0x01F01890,btflow_01F01890,btflow.c,reached,generated
0x01F01948,btflow_01F01948,btflow.c,reached,generated
0x01F019B8,btflow_01F019B8,btflow.c,reached,generated
0x01F019E8,btflow_01F019E8,btflow.c,reached,generated
0x01F01A00,btflow_01F01A00,btflow.c,reached,generated
0x01F01B38,btflow_01F01B38,btflow.c,reached,generated
0x01F01C60,func_01F01C60,,reached,generated
0x01F01C78,func_01F01C78,,reached,generated
0x01F01C90,func_01F01C90,,reached,generated
0x01F01CC0,func_01F01CC0,,reached,generated
0x01F01F08,func_01F01F08,,reached,generated
0x01F01FB0,func_01F01FB0,,reached,generated
0x01F02268,func_01F02268,,reached,generated
0x01F022B8,func_01F022B8,,reached,generated
0x01F024A8,func_01F024A8,,reached,generated
0x01F025D0,func_01F025D0,,reached,generated
0x01F025E8,btopera1_01F025E8,btopera1.c,reached,generated
0x01F027A8,btopera1_01F027A8,btopera1.c,reached,generated
0x01F028D8,btopera1_01F028D8,btopera1.c,reached,generated
0x01F029A8,btopera1_01F029A8,btopera1.c,reached,generated
0x01F02B68,func_01F02B68,,reached,generated
0x01F02C40,func_01F02C40,,reached,generated
0x01F02CD8,func_01F02CD8,,reached,generated
0x01F02D28,func_01F02D28,,reached,generated
0x01F02DC0,func_01F02DC0,,reached,generated
0x01F02E50,func_01F02E50,,reached,generated
0x01F02ED8,func_01F02ED8,,reached,generated
0x01F02F90,func_01F02F90,,reached,generated
0x01F03038,Sortie_anyway,,reached,prose_label
0x01F031E8,func_01F031E8,,reached,generated
0x01F03238,func_01F03238,,reached,generated
0x01F03318,btopera2_01F03318,btopera2.c,reached,generated
0x01F03790,btopera2_01F03790,btopera2.c,reached,generated
0x01F038A8,btopera2_01F038A8,btopera2.c,reached,generated
0x01F039A8,btopera2_01F039A8,btopera2.c,reached,generated
0x01F03A20,btopera2_01F03A20,btopera2.c,reached,generated
0x01F03B90,btopera2_01F03B90,btopera2.c,reached,generated
0x01F03BD0,btEvaIsPowerConnect,btopera2.c,reached,trace_string
0x01F03EB8,btopera2_01F03EB8,btopera2.c,reached,generated
0x01F03FB0,Can_t_deploy_here,btopera2.c,reached,prose_label
0x01F042D8,btopera2_01F042D8,btopera2.c,reached,generated
0x01F04328,btopera2_01F04328,btopera2.c,reached,generated
0x01F043B8,btopera2_01F043B8,btopera2.c,reached,generated
0x01F04448,btopera2_01F04448,btopera2.c,reached,generated
0x01F04500,btopera2_01F04500,btopera2.c,reached,generated
0x01F04548,btopera2_01F04548,btopera2.c,reached,generated
0x01F04650,btopera2_01F04650,btopera2.c,reached,generated
0x01F04768,btopera2_01F04768,btopera2.c,reached,generated
0x01F048A8,btopera2_01F048A8,btopera2.c,reached,generated
0x01F048F0,btopera2_01F048F0,btopera2.c,reached,generated
0x01F04958,btopera2_01F04958,btopera2.c,reached,generated
0x01F04A40,btopera2_01F04A40,btopera2.c,reached,generated
0x01F04A78,btopera2_01F04A78,btopera2.c,reached,generated
0x01F04AF8,func_01F04AF8,,reached,generated
0x01F04BD0,btopera3_01F04BD0,btopera3.c,reached,generated
0x01F04C40,btopera3_01F04C40,btopera3.c,reached,generated
0x01F04CF0,func_01F04CF0,,reached,generated
0x01F04E18,func_01F04E18,,reached,generated
0x01F04E68,func_01F04E68,,reached,generated
0x01F04F68,btoperat_01F04F68,btoperat.c,reached,generated
0x01F050B0,btOperationTest,btoperat.c,reached,recovered
0x01F05130,btoperat_01F05130,btoperat.c,reached,generated
0x01F05298,Set_tactics,btoperat.c,reached,prose_label
0x01F053B8,btoperat_01F053B8,btoperat.c,reached,generated
0x01F05428,btoperat_01F05428,btoperat.c,reached,generated
0x01F05510,btoperat_01F05510,btoperat.c,reached,generated
0x01F05558,btoperat_01F05558,btoperat.c,reached,generated
0x01F05678,btoperat_01F05678,btoperat.c,reached,generated
0x01F056A0,btoperat_01F056A0,btoperat.c,reached,generated
0x01F05710,btoperat_01F05710,btoperat.c,reached,generated
0x01F058E0,func_01F058E0,btoperat.c,reached,generated
0x01F05990,btoperat_01F05990,btoperat.c,reached,generated
0x01F05A90,func_01F05A90,,reached,generated
0x01F05B68,pilot_create,,reached,trace_string
0x01F05F00,func_01F05F00,,reached,generated
0x01F05F18,func_01F05F18,,reached,generated
0x01F05F30,func_01F05F30,,reached,generated
0x01F05F50,func_01F05F50,,reached,generated
0x01F05F68,btmissi4_01F05F68,btmissi4.c,reached,generated
0x01F05FA0,btmissi4_01F05FA0,btmissi4.c,reached,generated
0x01F05FB0,btmissi4_01F05FB0,btmissi4.c,reached,generated
0x01F05FC0,btmissi4_01F05FC0,btmissi4.c,reached,generated
0x01F05FD0,btmissi4_01F05FD0,btmissi4.c,reached,generated
0x01F05FE0,btmissi4_01F05FE0,btmissi4.c,reached,generated
0x01F06070,btmissi4_01F06070,btmissi4.c,reached,generated
0x01F06120,btmissi4_01F06120,btmissi4.c,reached,generated
0x01F061C0,btmissi4_01F061C0,btmissi4.c,reached,generated
0x01F06218,btmissi4_01F06218,btmissi4.c,reached,generated
0x01F062B8,btmissi4_01F062B8,btmissi4.c,reached,generated
0x01F062D0,btMissionTest,btmissi4.c,reached,recovered
0x01F06378,func_01F06378,,reached,generated
0x01F064A8,btplay_01F064A8,btplay.c,reached,generated
0x01F065F0,btplay_01F065F0,btplay.c,reached,generated
0x01F06670,btplay_01F06670,btplay.c,reached,generated
0x01F066F0,btplay_01F066F0,btplay.c,reached,generated
0x01F068A0,btplay_01F068A0,btplay.c,reached,generated
0x01F06948,btplay_01F06948,btplay.c,reached,generated
0x01F069E0,btplay_01F069E0,btplay.c,reached,generated
0x01F06B58,btplay_01F06B58,btplay.c,reached,generated
0x01F06C18,func_01F06C18,,reached,generated
0x01F06D50,func_01F06D50,,reached,generated
0x01F06DA8,func_01F06DA8,,reached,generated
0x01F06E30,func_01F06E30,,reached,generated
0x01F06F10,func_01F06F10,,reached,generated
0x01F06F40,func_01F06F40,,reached,generated
0x01F07068,func_01F07068,,reached,generated
0x01F070F0,func_01F070F0,,reached,generated
0x01F071D0,func_01F071D0,,reached,generated
0x01F072A0,func_01F072A0,,reached,generated
0x01F07418,btgeofro_01F07418,btgeofro.c,reached,generated
0x01F075F8,btgeofro_01F075F8,btgeofro.c,reached,generated
0x01F07718,btgeofro_01F07718,btgeofro.c,reached,generated
0x01F07918,btgeofro_01F07918,btgeofro.c,reached,generated
0x01F079B8,btgeofro_01F079B8,btgeofro.c,reached,generated
0x01F07A88,btgeofro_01F07A88,btgeofro.c,reached,generated
0x01F07AE0,Non_Play_Battle,btgeofro.c,reached,prose_label
0x01F07BA0,btvirtua_01F07BA0,btvirtua.c,reached,generated
0x01F07EF0,btvirtua_01F07EF0,btvirtua.c,reached,generated
0x01F07F70,btvirtua_01F07F70,btvirtua.c,reached,generated
0x01F07F88,btvirtua_01F07F88,btvirtua.c,reached,generated
0x01F07FB8,btvirtua_01F07FB8,btvirtua.c,reached,generated
0x01F08070,btvirtua_01F08070,btvirtua.c,reached,generated
0x01F080B8,btvirtua_01F080B8,btvirtua.c,reached,generated
0x01F081C8,btvirtua_01F081C8,btvirtua.c,reached,generated
0x01F08280,btvirtua_01F08280,btvirtua.c,reached,generated
0x01F082C8,btvirtua_01F082C8,btvirtua.c,reached,generated
0x01F082E0,Sortie_Member,btvirtua.c,reached,prose_label
0x01F083A0,btvirtua_01F083A0,btvirtua.c,reached,generated
0x01F084A0,func_01F084A0,,reached,generated
0x01F084E0,func_01F084E0,,reached,generated
0x01F085C8,btauto1_01F085C8,btauto1.c,reached,generated
0x01F08900,btauto1_01F08900,btauto1.c,reached,generated
0x01F089B8,btauto1_01F089B8,btauto1.c,reached,generated
0x01F08A60,btauto1_01F08A60,btauto1.c,reached,generated
0x01F08AE0,btauto1_01F08AE0,btauto1.c,reached,generated
0x01F08B08,btAutoPilotList,btauto1.c,reached,trace_string
0x01F08C08,func_01F08C08,,reached,generated
0x01F08C80,func_01F08C80,,reached,generated
0x01F08D90,func_01F08D90,,reached,generated
0x01F08DF8,func_01F08DF8,,reached,generated
0x01F08F00,func_01F08F00,,reached,generated
0x01F08F48,func_01F08F48,,reached,generated
0x01F08F80,func_01F08F80,,reached,generated
0x01F090A8,btauto3_01F090A8,btauto3.c,reached,generated
0x01F091F0,btauto3_01F091F0,btauto3.c,reached,generated
0x01F09258,btauto3_01F09258,btauto3.c,reached,generated
0x01F093F0,btauto3_01F093F0,btauto3.c,reached,generated
0x01F09478,btauto3_01F09478,btauto3.c,reached,generated
0x01F094E8,btauto3_01F094E8,btauto3.c,reached,generated
0x01F09500,position_front_of_zero,btauto3.c,reached,trace_string
0x01F09578,powside_near_to_other,btauto3.c,reached,trace_string
0x01F09710,position_random_in_all,btauto3.c,reached,trace_string
0x01F09800,position_random_in_zone,btauto3.c,reached,trace_string
0x01F098F0,btauto3_01F098F0,btauto3.c,reached,generated
0x01F09A48,btauto3_01F09A48,btauto3.c,reached,generated
0x01F09B88,btauto3_01F09B88,btauto3.c,reached,generated
0x01F09BE0,btauto3_01F09BE0,btauto3.c,reached,generated
0x01F09CE8,btauto3_01F09CE8,btauto3.c,reached,generated
0x01F09D28,freepos_random_in_z,btauto3.c,reached,trace_string
0x01F09E00,freepos_near_to_other,btauto3.c,reached,trace_string
0x01F09F10,btauto3_01F09F10,btauto3.c,reached,generated
0x01F09FD0,btauto3_01F09FD0,btauto3.c,reached,generated
0x01F0A040,btauto3_01F0A040,btauto3.c,reached,generated
0x01F0A2D0,btauto3_01F0A2D0,btauto3.c,reached,generated
0x01F0A3E8,geofron_position,btauto3.c,reached,trace_string
0x01F0A458,btauto3_01F0A458,btauto3.c,reached,generated
0x01F0A590,btauto3_01F0A590,btauto3.c,reached,generated
0x01F0A628,btauto3_01F0A628,btauto3.c,reached,generated
0x01F0A6E8,Auto_Tactics,btauto3.c,reached,prose_label
0x01F0A748,btauto3_01F0A748,btauto3.c,reached,generated
0x01F0A7F8,btauto3_01F0A7F8,btauto3.c,reached,generated
0x01F0A868,btauto3_01F0A868,btauto3.c,reached,generated
0x01F0A8A0,btauto3_01F0A8A0,btauto3.c,reached,generated
0x01F0A960,btauto3_01F0A960,btauto3.c,reached,generated
0x01F0A978,btauto3_01F0A978,btauto3.c,reached,generated
0x01F0AA30,btauto3_01F0AA30,btauto3.c,reached,generated
0x01F0AA60,btauto3_01F0AA60,btauto3.c,reached,generated
0x01F0AB98,btauto3_01F0AB98,btauto3.c,reached,generated
0x01F0AC78,btauto3_01F0AC78,btauto3.c,reached,generated
0x01F0AC90,btauto3_01F0AC90,btauto3.c,reached,generated
0x01F0AD28,func_01F0AD28,,reached,generated
0x01F0AD60,func_01F0AD60,,reached,generated
0x01F0ADD0,func_01F0ADD0,,reached,generated
0x01F0AE00,func_01F0AE00,,reached,generated
0x01F0AE78,func_01F0AE78,,reached,generated
0x01F0AED0,btviewer_01F0AED0,btviewer.c,reached,generated
0x01F0AF80,btviewer_01F0AF80,btviewer.c,reached,generated
0x01F0AFC8,btviewer_01F0AFC8,btviewer.c,reached,generated
0x01F0B010,btviewer_01F0B010,btviewer.c,reached,generated
0x01F0B0D8,btviewer_01F0B0D8,btviewer.c,reached,generated
0x01F0B108,btviewer_01F0B108,btviewer.c,reached,generated
0x01F0B158,btviewer_01F0B158,btviewer.c,unreferenced,generated
0x01F0B170,btviewer_01F0B170,btviewer.c,reached,generated
0x01F0B198,btviewer_01F0B198,btviewer.c,reached,generated
0x01F0B1B0,btviewer_01F0B1B0,btviewer.c,reached,generated
0x01F0B218,btviewer_01F0B218,btviewer.c,reached,generated
0x01F0B278,btviewer_01F0B278,btviewer.c,reached,generated
0x01F0B348,btviewer_01F0B348,btviewer.c,reached,generated
0x01F0B368,btviewer_01F0B368,btviewer.c,reached,generated
0x01F0B3A8,btviewer_01F0B3A8,btviewer.c,reached,generated
0x01F0B3D0,btviewer_01F0B3D0,btviewer.c,reached,generated
0x01F0B480,btviewer_01F0B480,btviewer.c,reached,generated
0x01F0B560,btviewer_01F0B560,btviewer.c,reached,generated
0x01F0B670,btviewer_01F0B670,btviewer.c,reached,generated
0x01F0B6C0,btviewer_01F0B6C0,btviewer.c,reached,generated
0x01F0BAE8,btviewer_01F0BAE8,btviewer.c,reached,generated
0x01F0BCD0,btviewer_01F0BCD0,btviewer.c,unreferenced,generated
0x01F0BCE8,btviewer_01F0BCE8,btviewer.c,unreferenced,generated
0x01F0BD28,btviewer_01F0BD28,btviewer.c,reached,generated
0x01F0C008,btviewer_01F0C008,btviewer.c,reached,generated
0x01F0C3A0,btviewer_01F0C3A0,btviewer.c,reached,generated
0x01F0C430,func_01F0C430,,reached,generated
0x01F0C510,func_01F0C510,,reached,generated
0x01F0C540,func_01F0C540,,reached,generated
0x01F0C558,func_01F0C558,,reached,generated
0x01F0C5A8,func_01F0C5A8,,reached,generated
0x01F0C600,func_01F0C600,,reached,generated
0x01F0C800,func_01F0C800,,reached,generated
0x01F0C8B0,func_01F0C8B0,,reached,generated
