addr,name,unit,confidence,name_source
0x01F00000,overlayMain,,reached,manual
0x01F00048,func_01F00048,,reached,generated
0x01F000A0,mgJA_shinji,,reached,prose_label
0x01F004F8,func_01F004F8,,reached,generated
0x01F005E8,func_01F005E8,,reached,generated
0x01F00720,func_01F00720,,reached,generated
0x01F00758,func_01F00758,,reached,generated
0x01F008E0,func_01F008E0,,reached,generated
0x01F00910,func_01F00910,,reached,generated
0x01F00B20,func_01F00B20,,reached,generated
0x01F00BF0,func_01F00BF0,,reached,generated
0x01F00D48,func_01F00D48,,reached,generated
0x01F00DF0,func_01F00DF0,,reached,generated
0x01F00ED0,func_01F00ED0,,reached,generated
0x01F00F40,func_01F00F40,,reached,generated
0x01F00FA0,func_01F00FA0,,reached,generated
0x01F00FB0,func_01F00FB0,,reached,generated
0x01F00FC8,func_01F00FC8,,reached,generated
0x01F010B0,func_01F010B0,,reached,generated
0x01F010C8,func_01F010C8,,reached,generated
0x01F01188,func_01F01188,,reached,generated
0x01F011A8,func_01F011A8,,reached,generated
0x01F011F0,func_01F011F0,,reached,generated
0x01F012C0,func_01F012C0,,reached,generated
0x01F012E0,func_01F012E0,,reached,generated
0x01F013E0,func_01F013E0,,reached,generated
0x01F013F8,b_status,,reached,prose_label
0x01F01750,func_01F01750,,reached,generated
0x01F017A8,func_01F017A8,,reached,generated
0x01F018B8,func_01F018B8,,reached,generated
0x01F01908,func_01F01908,,reached,generated
0x01F01948,func_01F01948,,reached,generated
0x01F019A8,func_01F019A8,,reached,generated
0x01F01B20,func_01F01B20,,reached,generated
0x01F01B58,func_01F01B58,,reached,generated
0x01F01C48,func_01F01C48,,reached,generated
0x01F01C68,func_01F01C68,,reached,generated
0x01F01D78,func_01F01D78,,reached,generated
0x01F01DB0,func_01F01DB0,,reached,generated
0x01F01E00,func_01F01E00,,reached,generated
0x01F01E20,func_01F01E20,,reached,generated
0x01F01EB0,func_01F01EB0,,reached,generated
0x01F01F38,func_01F01F38,,reached,generated
0x01F01F70,func_01F01F70,,reached,generated
0x01F01FB0,func_01F01FB0,,reached,generated
0x01F02008,func_01F02008,,reached,generated
0x01F02060,func_01F02060,,reached,generated
0x01F020F8,func_01F020F8,,unreferenced,generated
0x01F021B8,func_01F021B8,,reached,generated
0x01F02290,func_01F02290,,reached,generated
0x01F022E8,func_01F022E8,,reached,generated
0x01F02368,func_01F02368,,reached,generated
0x01F023B0,func_01F023B0,,reached,generated
0x01F023F8,func_01F023F8,,unreferenced,generated
