addr,name,unit,confidence,name_source
0x01F00000,overlayMain,,reached,manual
0x01F001E0,func_01F001E0,,reached,generated
0x01F00228,func_01F00228,,reached,generated
0x01F002C8,func_01F002C8,,reached,generated
0x01F00368,func_01F00368,,reached,generated
0x01F00378,func_01F00378,,reached,generated
0x01F00440,func_01F00440,,reached,generated
0x01F004B0,bandai,,reached,prose_label
0x01F00510,func_01F00510,,reached,generated
0x01F00570,func_01F00570,,reached,generated
0x01F005B8,func_01F005B8,,reached,generated
0x01F00608,func_01F00608,,reached,generated
0x01F00620,func_01F00620,,reached,generated
0x01F007A0,func_01F007A0,,reached,generated
0x01F007D0,func_01F007D0,,reached,generated
0x01F00860,func_01F00860,,reached,generated
0x01F00998,func_01F00998,,reached,generated
0x01F009E0,func_01F009E0,,reached,generated
0x01F00A40,func_01F00A40,,reached,generated
0x01F00AA0,func_01F00AA0,,reached,generated
0x01F00B40,TitleSelect_Product,,reached,prose_label
0x01F01058,func_01F01058,,reached,generated
0x01F01148,func_01F01148,,reached,generated
0x01F012B8,func_01F012B8,,reached,generated
0x01F01348,Title_screen_TBD,,unreferenced,prose_label
0x01F01498,func_01F01498,,reached,generated
0x01F014B0,func_01F014B0,,reached,generated
0x01F014C8,func_01F014C8,,reached,generated
0x01F014E0,func_01F014E0,,reached,generated
0x01F01500,func_01F01500,,reached,generated
0x01F01528,func_01F01528,,reached,generated
0x01F01540,func_01F01540,,reached,generated
0x01F01580,func_01F01580,,reached,generated
0x01F015F0,func_01F015F0,,reached,generated
0x01F01608,func_01F01608,,reached,generated
0x01F01648,func_01F01648,,reached,generated
0x01F01680,ss_frame,,reached,prose_label
0x01F01870,func_01F01870,,reached,generated
0x01F01970,func_01F01970,,reached,generated
0x01F01B40,func_01F01B40,,reached,generated
0x01F01C68,func_01F01C68,,reached,generated
0x01F01CB8,func_01F01CB8,,reached,generated
0x01F01D98,func_01F01D98,,reached,generated
0x01F01DA0,func_01F01DA0,,reached,generated
0x01F01F98,func_01F01F98,,reached,generated
0x01F02090,func_01F02090,,reached,generated
0x01F020A0,func_01F020A0,,reached,generated
0x01F020B8,func_01F020B8,,reached,generated
0x01F02208,func_01F02208,,reached,generated
0x01F02360,func_01F02360,,reached,generated
0x01F02460,func_01F02460,,reached,generated
0x01F02550,func_01F02550,,reached,generated
0x01F02590,func_01F02590,,reached,generated
0x01F025A0,func_01F025A0,,reached,generated
0x01F025B8,func_01F025B8,,reached,generated
0x01F025E0,func_01F025E0,,reached,generated
0x01F02708,func_01F02708,,reached,generated
0x01F02778,func_01F02778,,reached,generated
0x01F027C0,func_01F027C0,,unreferenced,generated
0x01F029B0,func_01F029B0,,reached,generated
0x01F029D8,func_01F029D8,,reached,generated
0x01F029F8,func_01F029F8,,reached,generated
0x01F02A28,func_01F02A28,,reached,generated
0x01F02A78,func_01F02A78,,reached,generated
0x01F02AF0,func_01F02AF0,,reached,generated
0x01F02B48,func_01F02B48,,reached,generated
0x01F02D60,func_01F02D60,,reached,generated
0x01F03268,func_01F03268,,unreferenced,generated
0x01F032C8,func_01F032C8,,reached,generated
0x01F03350,func_01F03350,,reached,generated
0x01F03520,func_01F03520,,reached,generated
0x01F03580,func_01F03580,,reached,generated
0x01F03638,func_01F03638,,reached,generated
0x01F03688,func_01F03688,,reached,generated
0x01F036B0,func_01F036B0,,reached,generated
0x01F036D8,func_01F036D8,,reached,generated
0x01F037E0,func_01F037E0,,reached,generated
0x01F03898,func_01F03898,,reached,generated
0x01F03920,func_01F03920,,unreferenced,generated
